date,value
2018-04-30,32
2018-05-31,46
2018-06-30,42
2018-07-31,41
2018-08-31,52
2018-09-30,26
2018-10-31,45
2018-11-30,34
2018-12-31,25
2019-01-31,37
2019-02-28,31
2019-03-31,35
2019-04-30,32
2019-05-31,32
2019-06-30,37
2019-07-31,28
2019-08-31,33
2019-09-30,29
2019-10-31,19
2019-11-30,22
2019-12-31,28
2020-01-31,28
2020-02-29,17
2020-03-31,19
2020-04-30,21
2020-05-31,27
2020-06-30,29
2020-07-31,26
2020-08-31,26
2020-09-30,27
2020-10-31,27
2020-11-30,19
2020-12-31,28
